חודש/שנה קלנדרי/ת,מקט,תחזית
01.2019,2387,"7,801 קג"
01.2019,2489,"1,780 קג"
01.2019,2465,396 קג
01.2019,219,883 קג
01.2019,239,"1,127 קג"
01.2019,428,"6,498 קג"
01.2019,240,368 קג
01.2019,241,582 קג
01.2019,220,442 קג
01.2019,304,"6,042 קג"
01.2019,305,"8,297 קג"
01.2019,430,"11,513 קג"
01.2019,451,"3,312 קג"
01.2019,452,"3,965 קג"
01.2019,350,"19,542 קג"
01.2019,368,"4,299 קג"
01.2019,365,"4,234 קג"
01.2019,351,"4,779 קג"
01.2019,352,"14,145 קג"
01.2019,369,"10,814 קג"
01.2019,434,"18,171 קג"
01.2019,435,"8,863 קג"
01.2019,436,"5,211 קג"
01.2019,317,"14,801 קג"
01.2019,318,"3,735 קג"
01.2019,319,"5,587 קג"
01.2019,331,"17,473 קג"
01.2019,346,"6,606 קג"
01.2019,341,"3,135 קג"
01.2019,242,"4,306 קג"
01.2019,342,"5,755 קג"
01.2019,332,"22,806 קג"
01.2019,272,"4,712 קג"
01.2019,1606,"1,900 קג"
01.2019,1607,213 קג
01.2019,1583,"1,778 קג"
01.2019,1585,913 קג
01.2019,1586,199 קג
01.2019,661,"5,066 קג"
01.2019,662,"2,418 קג"
01.2019,2593,"1,758 קג"
01.2019,2369,"4,498 קג"
01.2019,2364,"3,686 קג"
01.2019,1475,"9,900 קג"
01.2019,273,"10,726 קג"
01.2019,274,"5,523 קג"
01.2019,1476,"20,509 קג"
01.2019,206,"103,393 קג"
01.2019,210,"7,249 קג"
01.2019,213,"41,693 קג"
01.2019,209,"2,217 קג"
01.2019,1379,"31,029 קג"
01.2019,1380,"30,446 קג"
01.2019,1297,"6,550 קג"
01.2019,1354,"20,225 קג"
01.2019,1261,"7,029 קג"
01.2019,1381,"33,978 קג"
01.2019,1298,"6,540 קג"
01.2019,1262,"6,934 קג"
01.2019,1355,"31,674 קג"
01.2019,1356,"26,511 קג"
01.2019,1299,"7,275 קג"
01.2019,1300,"5,072 קג"
01.2019,1278,"5,275 קג"
01.2019,1357,"31,963 קג"
01.2019,1160,"9,662 קג"
01.2019,1161,"5,792 קג"
01.2019,1162,"4,404 קג"
01.2019,1163,"7,306 קג"
01.2019,1164,"7,474 קג"
01.2019,1165,"23,786 קג"
01.2019,1166,"9,759 קג"
01.2019,1167,"14,520 קג"
01.2019,1382,"9,608 קג"
01.2019,233,"1,885 קג"
01.2019,1358,"22,625 קג"
01.2019,2,"9,990 קג"
01.2019,3,"12,610 קג"
01.2019,13,"104,715 קג"
01.2019,1469,"2,105 קג"
01.2019,1470,"5,101 קג"
01.2019,1168,"7,334 קג"
01.2019,1491,"7,476 קג"
01.2019,1492,"5,012 קג"
01.2019,1493,"9,874 קג"
01.2019,1494,"20,345 קג"
01.2019,2529,"61,000 קג"
01.2019,2530,"6,659 קג"
01.2019,2531,"16,386 קג"
01.2019,2537,"6,108 קג"
01.2019,2461,"1,096 קג"
01.2019,2462,"1,496 קג"
01.2019,2385,455 קג
01.2019,2516,"4,229 קג"
01.2019,2518,"64,500 קג"
01.2019,2538,"89,700 קג"
01.2019,2539,"28,100 קג"
01.2019,2390,205 קג
01.2019,2568,"1,297 קג"
01.2019,2571,"1,240 קג"
01.2019,2495,"92,500 קג"
01.2019,2493,"1,185 קג"
01.2019,2468,"1,206 קג"
01.2019,2494,"2,480 קג"
01.2019,2480,"1,360 קג"
01.2019,832,"62,520 קג"
01.2019,882,"21,349 קג"
01.2019,1052,"73,432 קג"
01.2019,1037,"21,007 קג"
01.2019,1012,"29,848 קג"
01.2019,911,"80,565 קג"
01.2019,1013,"9,160 קג"
01.2019,846,"31,193 קג"
01.2019,912,"56,329 קג"
01.2019,736,"3,085 קג"
01.2019,1144,"9,491 קג"
01.2019,25,"101,184 קג"
01.2019,85,"20,546 קג"
01.2019,74,"9,159 קג"
01.2019,1098,"12,488 קג"
01.2019,881,"33,107 קג"
01.2019,861,"111,330 קג"
01.2019,1038,"47,134 קג"
01.2019,833,"156,045 קג"
01.2019,834,"39,367 קג"
01.2019,35,"16,659 קג"
01.2019,114,"9,592 קג"
01.2019,111,"7,219 קג"
01.2019,1049,"16,217 קג"
01.2019,1050,"15,920 קג"
01.2019,117,"3,124 קג"
01.2019,118,"11,468 קג"
01.2019,37,"20,167 קג"
01.2019,1099,"69,589 קג"
01.2019,38,"90,202 קג"
01.2019,119,"11,321 קג"
01.2019,120,"14,684 קג"
01.2019,121,"2,682 קג"
01.2019,1086,"591,142 קג"
01.2019,1134,"208,171 קג"
01.2019,91,"9,774 קג"
01.2019,878,"300,033 קג"
01.2019,1053,"18,437 קג"
01.2019,862,"19,773 קג"
01.2019,863,"199,784 קג"
01.2019,864,"10,149 קג"
01.2019,1145,"206,814 קג"
01.2019,1142,"10,203 קג"
01.2019,1143,"11,801 קג"
01.2019,847,"19,262 קג"
01.2019,39,"3,657 קג"
01.2019,112,"3,890 קג"
01.2019,989,"74,479 קג"
01.2019,913,"17,483 קג"
01.2019,914,"127,163 קג"
01.2019,1014,"149,426 קג"
01.2019,1003,"17,495 קג"
01.2019,1054,"52,449 קג"
01.2019,116,"7,879 קג"
01.2019,1100,"25,851 קג"
01.2019,1015,"12,708 קג"
01.2019,1101,"75,664 קג"
01.2019,86,"5,214 קג"
01.2019,30,"11,248 קג"
01.2019,1102,"63,379 קג"
01.2019,75,"13,319 קג"
01.2019,1122,"20,246 קג"
01.2019,1094,"97,746 קג"
01.2019,884,"11,516 קג"
01.2019,835,"103,126 קג"
01.2019,865,"18,073 קג"
01.2019,866,"81,318 קג"
01.2019,320,"4,564 קג"
01.2019,1039,"23,882 קג"
01.2019,1123,"2,952 קג"
01.2019,2482,"12,000 קג"
01.2019,1305,"3,859 קג"
01.2019,2483,"3,040 קג"
01.2019,727,595 קג
01.2019,1611,"1,592 קג"
01.2019,1612,219 קג
01.2019,725,114 קג
